department,allocation_ratio,allocation_percent,building_name_allocation,b_code,meter_id,include_in_dashboard,source_sheet
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 ชั้นที่ 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 แอร์รวม,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0833333,8.33333,ท.0019 ชั้นที่ 9 (รวม),T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบแสงสว่าง 9,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 9,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 PPD,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 3,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 Booster Pump,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 PPL (Lift),T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.16666666666666666,16.666666666666664,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0833333333,8.33333333,ท.0019 ชั้นที่ 9 (รวม),T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบแสงสว่าง 9,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 9,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 PPD,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 3,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 Booster Pump,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 PPL (Lift),T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,ท.0009 อาคาร ปฏิบัติการพิเศษ,T.0009,T.0009__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,ท.0011 อาคาร เครื่องมือ อบค.,T.0011,T.0011__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.,T.0012,T.0012__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,ท.0017 อาคาร ศูนย์พัฒนางานเชื่อมและทดสอบฝีมือช่างเชื่อมสากล,T.0017,T.0017__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,ท.0022 อาคารห้องกัมตภาพรังสี อบค.,T.0022,T.0022__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,ท.0023 อาคาร Construction Shop อบค.,T.0023,T.0023__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,1.0,100.0,บ.0001 อาคาร แฟลต อบค.,B.0001,B.0001__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 8 อบค.,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบแสงสว่าง 8,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 8/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 8/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบค.,0.0,0.0,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 8,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
