source_row,department,allocation_ratio,meter_id,b_code,floor,subb_code,building_name,allocation_building_name
117,อรอ.,1.0,T.0006__FL01__MDB,T.0006,FL01,MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.
118,อรอ.,1.0,T.0008__FL01__MDB,T.0008,FL01,MDB,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.
119,อรอ.,1.0,T.0010__FL01__MDB,T.0010,FL01,MDB,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.
121,อสร.,1.0,D.0015__FL01__MDB,D.0015,FL01,MDB,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.
122,อสร.,1.0,T.0025__FL01__MDB,T.0025,FL01,MDB,ท.0025 อาคารเก็บอุปกรณ์ อสร.,ท.0025 อาคารเก็บอุปกรณ์ อสร.
124,อหข.,1.0,T.0026__FL01__MDB,T.0026,FL01,MDB,ท.0026 อาคารบริหารการขนส่ง,ท.0026 อาคารบริหารการขนส่ง
125,อหข.,1.0,T.0027__FL01__MDB,T.0027,FL01,MDB,ท.0027 อาคารปฏิบัติการกองขนส่ง,ท.0027 อาคารปฏิบัติการกองขนส่ง
126,อหข.,1.0,T.0028__FL01__MDB,T.0028,FL01,MDB,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1
127,อหข.,1.0,T.0029__FL01__MDB,T.0029,FL01,MDB,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2
128,อหข.,1.0,D.0031__FL01__MDB,D.0031,FL01,MDB,ต.0031 อาคารโรงอาหาร,ต.0031 อาคารโรงอาหาร
130,อหข.,1.0,D.0033__FL01__MDB,D.0033,FL01,MDB,ต.0033 อาคารปฏิบัติการงานเชื่อม,ต.0033 อาคารปฏิบัติการงานเชื่อม
